County,Eligible Black Voters,Black Voters (Turnout),Black: Eligible but Did Not Vote,Eligible White Voters,White Voters (Turnout),White: Eligible but Did Not Vote,Eligible Hispanic Voters,Hispanic Voters (Turnout),Hispanic: Eligible but Did Not Vote,Eligible Asian Voters,Asian Voters (Turnout),Asian: Eligible but Did Not Vote
BARBOUR,9245,4178.0,5067.0,9565,5508.0,4057.0,405,77.0,328.0,45,31.0,14.0
BULLOCK,5525,3100.0,2425.0,1940,930.0,1010.0,250,17.0,233.0,80,8.0,72.0
BUTLER,6564,3532.0,3032.0,8230,5420.0,2810.0,175,46.0,129.0,0,28.0,0.0
CHOCTAW,4259,2879.0,1380.0,5810,4027.0,1783.0,55,25.0,30.0,50,14.0,36.0
CRENSHAW,2564,1385.0,1179.0,7680,4686.0,2994.0,125,56.0,69.0,69,23.0,46.0
DALLAS,19904,11874.0,8030.0,8585,5144.0,3441.0,80,37.0,43.0,45,49.0,0.0
GREENE,5085,3801.0,1284.0,1270,811.0,459.0,40,17.0,23.0,4,4.0,0.0
HALE,6664,4461.0,2203.0,4640,3007.0,1633.0,10,27.0,0.0,10,22.0,0.0
LOWNDES,5654,4448.0,1206.0,1970,1613.0,357.0,30,20.0,10.0,0,14.0,0.0
MACON,12499,6716.0,5783.0,2485,1481.0,1004.0,60,39.0,21.0,35,14.0,21.0
MARENGO,7540,5096.0,2444.0,6860,5065.0,1795.0,135,64.0,71.0,10,19.0,0.0
MONTGOMERY,98815,55203.0,43612.0,62620,34887.0,27733.0,2110,1111.0,999.0,2930,915.0,2015.0
PERRY,4704,3330.0,1374.0,2295,1028.0,1267.0,105,8.0,97.0,0,3.0,0.0
PIKE,9810,3956.0,5854.0,15250,7768.0,7482.0,410,104.0,306.0,149,87.0,62.0
RUSSELL,19675,9440.0,10235.0,21060,9544.0,11516.0,1740,477.0,1263.0,600,79.0,521.0
SUMTER,7145,4244.0,2901.0,2640,1360.0,1280.0,30,10.0,20.0,85,14.0,71.0
WILCOX,5530,4018.0,1512.0,2365,1699.0,666.0,45,11.0,34.0,29,4.0,25.0
