county_name,fips_code,eligible_black,voted_black,missing_voters_black,missing_voters_rate_black,eligible_white,voted_white,missing_voters_white,missing_voters_rate_white,eligible_latinx,voted_latinx,missing_voters_latinx,missing_voters_rate_latinx,not_voted_gap
Barbour,01005,8929,3773,5156,0.5774,9301,5979,3322,0.3572,444,50,394,0.8874,0.2202
Bullock,01011,5518,2966,2552,0.4625,1949,1099,850,0.4361,186,18,168,0.9032,0.0264
Butler,01013,6207,2998,3209,0.517,7580,5019,2561,0.3379,164,18,146,0.8902,0.1791
Choctaw,01023,3722,2435,1287,0.3458,5637,4180,1457,0.2585,85,8,77,0.9059,0.0873
Crenshaw,01041,2425,1272,1153,0.4755,7218,5139,2079,0.288,123,17,106,0.8618,0.1875
Dallas,01047,19033,10418,8615,0.4526,8106,5191,2915,0.3596,165,13,152,0.9212,0.093
Greene,01063,4645,3175,1470,0.3165,1116,835,281,0.2518,4,12,0,0.0,0.0647
Hale,01065,6158,3803,2355,0.3824,4597,3465,1132,0.2462,105,17,88,0.8381,0.1362
Lowndes,01085,5561,3916,1645,0.2958,2022,1751,271,0.134,15,12,3,0.2,0.1618
Macon,01087,12121,6097,6024,0.497,2898,1693,1205,0.4158,195,26,169,0.8667,0.0812
Marengo,01091,7250,4482,2768,0.3818,6711,5148,1563,0.2329,247,43,204,0.8259,0.1489
Montgomery,01101,99436,51925,47511,0.4778,56611,35316,21295,0.3762,3184,715,2469,0.7754,0.1016
Perry,01105,4235,3181,1054,0.2489,1908,1301,607,0.3181,17,4,13,0.7647,-0.0692
Pike,01109,9418,4211,5207,0.5529,15040,8800,6240,0.4149,430,59,371,0.8628,0.138
Russell,01113,19969,9217,10752,0.5384,20711,10869,9842,0.4752,1955,329,1626,0.8317,0.0632
Sumter,01119,6453,3755,2698,0.4181,2593,1547,1046,0.4034,82,4,78,0.9512,0.0147
Wilcox,01131,5257,3477,1780,0.3386,2386,1773,613,0.2569,1,4,0,0.0,0.0817
