county_name,fips_code,registered_voters,total_ballots_cast,absentee_ballots,turnout_rate,absentee_rate,ballots_female,ballots_male,ballots_not_identified_gender,ballots_age_18_29,ballots_age_30_39,ballots_age_40_49,ballots_age_50_59,ballots_age_60_69,ballots_age_70_79,ballots_age_80_plus,ballots_black,ballots_white,ballots_latinx,turnout_rate_black,turnout_rate_white,turnout_rate_latinx
Barbour,1005,17819,10560,1296,0.593,0.123,6059,4483,9,1092,1218,1351,1964,2325,1876,725,4330,6110,35,0.5323,0.6749,0.2047
Bullock,1011,7438,4633,720,0.623,0.155,2714,1815,13,538,573,645,797,1011,674,304,3336,1168,12,0.6127,0.7268,0.1714
Butler,1013,14602,9527,1069,0.652,0.112,5518,3962,2,1001,1222,1417,1714,2009,1411,708,3640,5751,20,0.5603,0.735,0.4348
Choctaw,1023,11008,7522,797,0.683,0.106,4204,3230,4,858,839,1042,1391,1565,1193,550,3003,4412,5,0.6381,0.738,0.25
Crenshaw,1041,10606,6645,489,0.627,0.074,3716,2906,2,778,866,959,1240,1341,1006,434,1435,5127,11,0.5393,0.6417,0.2
Dallas,1047,31771,17949,3001,0.565,0.167,10840,7209,4,2175,2347,2628,3291,3973,2538,1101,12221,5699,11,0.5836,0.6971,0.1667
Greene,1063,7029,4801,830,0.683,0.173,2771,2019,4,538,626,668,860,1097,677,328,3895,867,11,0.7323,0.7398,0.5238
Hale,1065,12512,7957,1448,0.636,0.182,4625,3369,4,995,1066,1229,1473,1678,1082,475,4521,3400,10,0.6467,0.6797,0.2857
Lowndes,1085,10343,6896,1534,0.667,0.222,3831,2923,5,851,926,1017,1295,1416,851,403,4860,1858,12,0.6821,0.7584,0.4444
Macon,1087,17900,8771,1570,0.49,0.179,5233,3524,19,1164,1053,1119,1545,1903,1372,620,7043,1621,20,0.5039,0.6204,0.2469
Marengo,1091,16322,10942,1140,0.67,0.104,6219,4701,0,1355,1384,1619,2101,2216,1540,705,5260,5591,28,0.6325,0.7775,0.35
Montgomery,1101,165228,99326,24204,0.601,0.244,56532,37737,78,13554,14226,15248,16946,17392,11547,5434,51522,39988,604,0.5132,0.717,0.3263
Perry,1105,8156,5258,1208,0.645,0.23,3010,2189,0,663,628,815,920,1068,706,399,3783,1396,5,0.6819,0.6949,0.3125
Pike,1109,23585,13895,1156,0.589,0.083,7259,5516,3,2272,1782,1816,2177,2199,1710,822,4072,8454,47,0.4292,0.5889,0.2611
Russell,1113,42618,21394,4655,0.502,0.218,12376,8992,7,2422,3010,3378,4262,4420,2665,1218,9746,10876,287,0.4527,0.4828,0.2586
Sumter,1119,10028,6324,1029,0.631,0.163,3756,2576,0,797,761,850,1161,1482,850,431,4621,1675,3,0.6348,0.7398,0.2308
Wilcox,1131,9184,5935,1257,0.646,0.212,3379,2521,0,792,727,875,1087,1222,841,356,4034,1840,2,0.6606,0.7686,0.2222
